model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-2e20-11.8Bparams-2.4Btokens,2e+20,11800000000.0,2400000000.0,truthy_answer,hard_acc,0.4930313588850174,2,2256
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,flipped_answer,hard_acc,0.47723491379310345,8,28928
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,intuitive_answer,hard_acc,0.41833333333333333,1,600
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,multihop_persona_qa,match_rate,0.00625,30,120
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,repetitive_answer,hard_acc,0.00032142857142857147,7,16000
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,successive_answer,hard_acc,0.0954102049232508,4,18380
delphi-2e20-2.5Bparams-11.2Btokens,2e+20,2500000000.0,11200000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,flipped_answer,hard_acc,0.4739741379310345,8,28928
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,intuitive_answer,hard_acc,0.5816666666666667,1,600
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,multihop_persona_qa,match_rate,0.00175,30,120
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,repetitive_answer,hard_acc,0.00014285714285714287,7,16000
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,successive_answer,hard_acc,0.24237147169946482,4,18380
delphi-2e20-273Mparams-134Btokens,2e+20,273000000.0,134000000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,flipped_answer,hard_acc,0.4588125,8,28928
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,intuitive_answer,hard_acc,0.445,1,600
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,multihop_persona_qa,match_rate,0.00425,30,120
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,successive_answer,hard_acc,0.13570507072968585,4,18380
delphi-2e20-3.4Bparams-8.3Btokens,2e+20,3400000000.0,8300000000.000001,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,flipped_answer,hard_acc,0.5270678879310345,8,28928
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,intuitive_answer,hard_acc,0.49,1,600
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,multihop_persona_qa,match_rate,0.003916666666666667,30,120
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,repetitive_answer,hard_acc,0.00014285714285714287,7,16000
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,successive_answer,hard_acc,0.02788102585127962,4,18380
delphi-2e20-4.3Bparams-6.6Btokens,2e+20,4300000000.0,6600000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,flipped_answer,hard_acc,0.4655862068965517,8,28928
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,intuitive_answer,hard_acc,0.4483333333333333,1,600
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,multihop_persona_qa,match_rate,0.0017500000000000003,30,120
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,repetitive_answer,hard_acc,0.00028571428571428574,7,16000
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,successive_answer,hard_acc,0.05503776467789366,4,18380
delphi-2e20-447Mparams-73.4Btokens,2e+20,447000000.0,73400000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,flipped_answer,hard_acc,0.49409482758620693,8,28928
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,intuitive_answer,hard_acc,0.44333333333333336,1,600
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,multihop_persona_qa,match_rate,0.00425,30,120
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,successive_answer,hard_acc,0.16099895876668105,4,18380
delphi-2e20-5.3Bparams-5.3Btokens,2e+20,5300000000.0,5300000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,flipped_answer,hard_acc,0.44931681034482757,8,28928
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,intuitive_answer,hard_acc,0.475,1,600
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,multihop_persona_qa,match_rate,0.004916666666666666,30,120
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,successive_answer,hard_acc,0.02839509489293394,4,18380
delphi-2e20-6.7Bparams-4.2Btokens,2e+20,6700000000.0,4200000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,flipped_answer,hard_acc,0.45903017241379307,8,28928
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,intuitive_answer,hard_acc,0.39,1,600
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,multihop_persona_qa,match_rate,0.0029166666666666664,30,120
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,successive_answer,hard_acc,0.040054056594513575,4,18380
delphi-2e20-669Mparams-46.7Btokens,2e+20,669000000.0,46700000000.0,truthy_answer,hard_acc,0.00043554006968641115,2,2256
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,flipped_answer,hard_acc,0.46630603448275865,8,28928
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,intuitive_answer,hard_acc,0.3516666666666667,1,600
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,multihop_persona_qa,match_rate,0.004416666666666667,30,120
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,repetitive_answer,hard_acc,0.0,7,16000
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,successive_answer,hard_acc,0.03485926346571888,4,18380
delphi-2e20-8.1Bparams-3.5Btokens,2e+20,8100000000.0,3500000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,flipped_answer,hard_acc,0.4429601293103448,8,28928
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,intuitive_answer,hard_acc,0.535,1,600
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,multihop_persona_qa,match_rate,0.004166666666666667,30,120
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,repetitive_answer,hard_acc,0.00028571428571428574,7,16000
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,successive_answer,hard_acc,0.1378155413547175,4,18380
delphi-2e20-9.7Bparams-2.9Btokens,2e+20,9700000000.0,2900000000.0,truthy_answer,hard_acc,0.00043554006968641115,2,2256
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,flipped_answer,hard_acc,0.4234978448275862,8,28928
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,intuitive_answer,hard_acc,0.3,1,600
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,multihop_persona_qa,match_rate,0.003416666666666667,30,120
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,repetitive_answer,hard_acc,3.571428571428572e-05,7,16000
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,successive_answer,hard_acc,0.027949982267301637,4,18380
delphi-2e20-998Mparams-29.9Btokens,2e+20,998000000.0,29900000000.0,truthy_answer,hard_acc,0.003484320557491289,2,2256
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,flipped_answer,hard_acc,0.49146875,8,28928
